ABC0;0;AbstractCase;;nominative;nominative;
ABC1;1;AbstractCase;;accusative;accusative;
ABC2;2;AbstractCase;;dative;dative;
ABC3;3;AbstractCase;;genitive;genitive;
ABC4;4;AbstractCase;;locative;locative;
ABC5;5;AbstractCase;;distributive;distributive;
ADF0;0;AdjectiveForm;de;form0;form0;
ADF1;1;AdjectiveForm;de;formE;formE;
ADF2;2;AdjectiveForm;de;formEM;formEM;
ADF3;3;AdjectiveForm;de;formEN;formEN;
ADF4;4;AdjectiveForm;de;formER;formER;
ADF5;5;AdjectiveForm;de;formES;formES;
ADP21;21;AdpositionType;;preposition;preposition;mit
ADP22;22;AdpositionType;;postPosition;postPosition;willen
ADP23;23;AdpositionType;;circumPosition;circumPosition;an
ADP24;24;AdpositionType;;pronominalPrep;pronominalPrep;darauf
ADP26;26;AdpositionType;;complexPrep;complexPrep;anhand (von)
ADP27;27;AdpositionType;;doubleComplexPrep;doubleComplexPrep;von  (bis)
ADP28;28;AdpositionType;;vonComplP;vonComplP;nordlich von
ADP29;29;AdpositionType;;zuComplP;zuComplP;in vergleich zu
ADV0;0;AdverbType;;advNegation;Negation;not
ADV1;1;AdverbType;fr,it,es;advNegationParticle;NegationParticle;fr. ne
ADV2;2;AdverbType;fr;advInterrogativeParticle;InterrogativeParticle;est-ce que
ADV3;3;AdverbType;;advInterrogative;Interrogative;when, why
ADV4;4;AdverbType;;advStandard;Standard;always
ADV5;5;AdverbType;;advSentential;Sentential;cependant
ADV6;6;AdverbType;en;advNominalCompound;NominalCompound;everywhere that I put it
ADV7;7;AdverbType;en;advDP;DP;three years
AFE0;0;AdjectiveFeature;;toughAdj;tough;difficult
AFE1;1;AdjectiveFeature;;colourAdj;colour;blue
AFE17;17;AdjectiveFeature;de;otherAdj;other;
AFE18;18;AdjectiveFeature;;sSubject;sSubject;sujet phrase: faire du ski est sympa
AFE19;19;AdjectiveFeature;;nonPredicativeAdj;nonPredicative;
AFE2;2;AdjectiveFeature;;interrogativeAdj;interrogative;how
AFE20;9;AdjectiveFeature;;presentParticiple;presentParticiple;
AFE21;10;AdjectiveFeature;;perfectParticiple;perfectParticiple;
AFE22;20;AdjectiveFeature;de;postnominalAdj;postnominal;ein Gesetzt à la carte
AFE23;21;AdjectiveFeature;;syntheticMorphAdj;syntheticMorphAdj;easy, easier, easiest
AFE24;22;AdjectiveFeature;;wh_sSubject;wh_sSubject;what to do is clear
AFE25;23;AdjectiveFeature;;ordinalNumber;ordinalNumber;
AFE3;3;AdjectiveFeature;;subcatAdj;subcat;proud
AFE4;4;AdjectiveFeature;;stativeAdj;stative;tall
AFE5;5;AdjectiveFeature;;nonStativeAdj;nonStative;stupid
AFE6;6;AdjectiveFeature;;gradableAdj;gradable;small
AFE7;7;AdjectiveFeature;en;predeterminerAdj;predeterminer;
AFE8;8;AdjectiveFeature;en,fr,it,es,pt;tempAdj;temp;
AFF11;11;AdjectiveFeature;;quantificationAdj;quantification;nombreux, tel
AFF12;12;AdjectiveFeature;;formuleAdj;formule;
AFF17;17;AdjectiveFeature;fr;seulAdj;seul;
AFF7;7;AdjectiveFeature;fr,it,es,pt;prenominalAdj;prenominal;fr. petit
AFP20;20;AdjectiveFeature;pt;seulAdj;sóAdj;
AFS17;17;AdjectiveFeature;es,pt;otroAdj;otro;
AIE0;0;AdjectiveInflection;;irregular;irregular;
AIE-1;-1;AdjectiveInflection;;no inflection;no inflection;
AIE1;1;AdjectiveInflection;en;A_1;invariable;
AIE-2;-2;AdjectiveInflection;;undefinedInflection;not yet defined;
AIE2;2;AdjectiveInflection;en;A_2;synthetic comparative;
AIE3;3;AdjectiveInflection;en;A_3;irregular comparative;
AIF1;1;AdjectiveInflection;fr;A_1;1.réguliers avec 4 formes ( -, -e,-s,-es)  plat-plate-plats-plates;plat-plate-plats-plates
AIF10;10;AdjectiveInflection;fr;A_10;10. en -/-uë  aigu-aiguë-aigus-aiguës;aigu-aiguë-aigus-aiguës
AIF11;11;AdjectiveInflection;fr;A_11;11. en -et/-ète secret, secrète;secret, secrète
AIF12;12;AdjectiveInflection;fr;A_12;12. invariable;super, high-tech
AIF2;2;AdjectiveInflection;fr;A_2;2. en -x (-,se,-,ses) haineux-haineuse-haineux-haineuses;haineux-haineuse-haineux-haineuses
AIF3;3;AdjectiveInflection;fr;A_3;3. en -al/-aux  loyal-loyale-loyaux-loyales;loyal-loyale-loyaux-loyales
AIF4;4;AdjectiveInflection;fr;A_4;4. en -eau/-elle  beau-belle-beaux-belles;beau-belle-beaux-belles
AIF5;5;AdjectiveInflection;fr;A_5;5. en -ieux/-ielle  vieux-vieille-vieux-vieilles;vieux-vieille-vieux-vieille
AIF6;6;AdjectiveInflection;fr;A_6;6. en -s/-sse bas-basse-bas-basses;bas-basse-bas-basses
AIF7;7;AdjectiveInflection;fr;A_7;7. en -s/-se  précis-précise-précis-précises;précis-précise-précis-précises
AIF8;8;AdjectiveInflection;fr;A_8;8. réguliers en -e (mas, fém) jeune-jeunes;jeune-jeunes
AIF9;9;AdjectiveInflection;fr;A_9;9. en -eur/-rice consolateur-consolatrice-consolateurs-consolatrices;consolateur-consolatrice-consolateurs-consolatrices
AIG1;1;AdjectiveInflection;de;1;[1] attributiv und prädikativ verwendete Adjektive (heftig, wichtig);heftig, wichtig, gross
AIG2;2;AdjectiveInflection;de;2;[2] nur attributiv verwendete Adjektive (obere, linkere);obere, linkere
AIG3;3;AdjectiveInflection;de;3;[3] nur prädikativ verwendete Adjektive (quitt, pleite);quitt, pleite
AIG4;4;AdjectiveInflection;de;4;[4] unveränderliche Adjektive (rosa, zweierlei);rosa, zweierlei
AIG5;5;AdjectiveInflection;de;5;[5] Kardinalzahlen (fünf, hundert);fünf, hundert, einundsiebzig
AIG6;6;AdjectiveInflection;de;6;[6] Ordinalzahlen (zweite, zwanzigste);zweite, zwanzigste, hundertste
AII0;1;AdjectiveInflection;it;A_1;[1] -"o", -"a", -"i", -"e";bello, amico, largo, 
AII1;2;AdjectiveInflection;it;A_2;[2] -"e", -"i";felice, dolce, 
AII2;3;AdjectiveInflection;it;A_3;[3] -"co", -"ca", -"ci", -"che";magnifico, teorico, 
AII3;4;AdjectiveInflection;it;A_4;[4] invariable;pari, viola, 
AII4;5;AdjectiveInflection;it;A_5;[5] -"a", pl en -i (masc) et -e (fém);marxista, marxisti, marxiste
AII5;6;AdjectiveInflection;it;A_6;[6] -"tore", -"trice" conservatore, conservatrice;conservatore - conservatrice
AII6;7;AdjectiveInflection;it;A_7;[7] -o, -a, -i, -e + superlatif;bello-bella/bellissimo-bellissima
AII7;8;AdjectiveInflection;it;A_8;[8] -e, -i + superlatif;dolce-dolci/dolcissimo-a-i-e
AII8;9;AdjectiveInflection;it;A_9;[9] -co, -ca, -chi, -che + superlatif;
AII9;10;AdjectiveInflection;it;A_10;[10] invariable + superlatif;
AIL1;1;AdjectiveInflection;la;A_1;1. adjectifs de 1ere classe - bonus, a, um;
AIL2;2;AdjectiveInflection;la;A_2;2. parisyllabiques - similis, is, e;
AIL3;22;AdjectiveInflection;la;A_22;22. imparisyllabiques - vetus, veteris;
AIL4;21;AdjectiveInflection;la;A_21;21. type spécial - prudens, prudentis;
AIO1;1;AdjectiveInflection;eo;A_1;[1] inflclass 1;
AIP1;1;AdjectiveInflection;pt;A_1;[1] réguliers avec 4 formes (o, os, a, as);
AIP10;10;AdjectiveInflection;pt;A_10;[10] -eu/eia -- europeu/europeus, europeia/europeias + superlatif;
AIP11;11;AdjectiveInflection;pt;A_11;[11] -ão -- folgazão/folgazãos, folgazã/folgazãs;
AIP12;12;AdjectiveInflection;pt;A_12;[12] -ão -- folgazão/folgazãos, folgazã/folgazãs + superlatif;
AIP13;13;AdjectiveInflection;pt;A_13;[13] -ão -- alemão/alemães, alemã/alemãs;
AIP14;14;AdjectiveInflection;pt;A_14;[14] -ão -- alemão/alemães, alemã/alemãs + superlatif;
AIP15;15;AdjectiveInflection;pt;A_15;[15] -ão -- comilão/comilões, comilona/comilonas;
AIP16;16;AdjectiveInflection;pt;A_16;[16] -ão -- comilão/comilões, comilona/comilonas + superlatif;
AIP17;17;AdjectiveInflection;pt;A_17;[17] -es -- francês/franceses, francesa/francesas;
AIP18;18;AdjectiveInflection;pt;A_18;[18] -es -- francês/franceses, francesa/francesas + superlatif;
AIP19;19;AdjectiveInflection;pt;A_19;[19]  2 genres -- anual/anuais, aparente/aparentes;
AIP2;2;AdjectiveInflection;pt;A_2;[2] réguliers avec 4 formes (o, os, a, as) + superlatif;
AIP20;20;AdjectiveInflection;pt;A_20;[20]  2 genres -- anual/anuais, aparente/aparentes + superlatif;
AIP21;21;AdjectiveInflection;pt;A_21;[21] adjectifs invariables;
AIP22;22;AdjectiveInflection;pt;A_22;[22] adjectifs invariables + superlatif;
AIP23;23;AdjectiveInflection;pt;A_23;[23] adjectifs en ão -- aldeão-aldeã, aldeões-aldeãs;
AIP3;3;AdjectiveInflection;pt;A_3;[3] -or -- impostor/impostores, impostora/impostoras;
AIP4;4;AdjectiveInflection;pt;A_4;[4] -or -- impostor/impostores, impostora/impostoras + superlatif;
AIP5;5;AdjectiveInflection;pt;A_5;[5] -tor/dor-triz -- ator/atores, atriz/atrize;
